id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
279,5,0.2,10,15/02/2011
279,1,0.2,30,15/02/2011
279,11,0.2,60,15/02/2011
279,15,0.2,11.4,15/02/2011
285,1,0.18,90,04/02/2011
285,15,0.18,34.2,04/02/2011
285,11,0.18,120,04/02/2011
285,5,0.18,90,04/02/2011
285,6,0.18,20,04/02/2011
286,11,0.62,120,18/02/2011
286,5,0.62,80,18/02/2011
286,1,0.62,200,18/02/2011
286,15,0.62,76,18/02/2011
286,6,0.62,30,18/02/2011
287,11,0.28,300,24/02/2011
287,5,0.28,240,24/02/2011
289,2,0.59,3,12/04/2010
289,15,0.59,2.66,12/04/2010
289,1,0.59,7,12/04/2010
289,11,0.59,31,12/04/2010
289,5,0.59,10,12/04/2010
291,1,0.35,40,17/02/2011
291,15,0.35,15.2,17/02/2011
292,1,0.47,40,05/02/2011
292,11,0.47,120,05/02/2011
292,6,0.47,10,05/02/2011
292,15,0.47,15.2,05/02/2011
292,5,0.47,45,05/02/2011
295,11,0.46,120,25/02/2011
295,2,0.46,15,25/02/2011
295,15,0.46,45.6,25/02/2011
295,6,0.46,10,25/02/2011
295,8,0.46,35,25/02/2011
295,1,0.46,120,25/02/2011
295,10,0.46,10,25/02/2011
295,5,0.46,45,25/02/2011
297,15,0.58,68.4,18/02/2011
297,1,0.58,180,18/02/2011
297,11,0.58,320,18/02/2011
297,5,0.58,60,18/02/2011
301,11,0.1,30,11/03/2011
301,16,0.1,5,11/03/2011
301,15,0.1,7.6,11/03/2011
301,6,0.1,3,11/03/2011
301,1,0.1,20,11/03/2011
301,5,0.1,15,11/03/2011
303,5,0.13,40,24/02/2011
303,10,0.13,20,24/02/2011
303,1,0.13,80,24/02/2011
303,11,0.13,70,24/02/2011
303,15,0.13,30.4,24/02/2011
304,5,0.22,80,03/02/2011
304,15,0.22,38,03/02/2011
304,11,0.22,60,03/02/2011
304,1,0.22,100,03/02/2011
305,1,0.38,80,22/02/2011
305,11,0.38,350,22/02/2011
305,5,0.38,60,22/02/2011
305,15,0.38,30.4,22/02/2011
310,11,0.38,60,16/02/2011
310,2,0.38,15,16/02/2011
310,1,0.5,19,08/04/2010
310,3,0.5,11.4,08/04/2010
310,8,0.5,6,08/04/2010
310,1,0.38,80,16/02/2011
310,10,0.5,5,08/04/2010
